"06+112";"RULETA MEDIANA-PLASTIGAL";0.00;24.00;2696.4600;4200.0000;0.00;"7796133001122";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+301";"ROYAL MATIC";0.00;24.00;13110.0000;20300.0000;0.00;"7796133003010";"";"09-05-02 13-0";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
"06+302";"OCA MATIC";0.00;24.00;13110.0000;20300.0000;0.00;"7796133003027";"";"09-05-02 13-0";0.00;0.00;0.00;0.00;1.00;0.00;0.00;4.00;0.00
"06+303";"BUUU MATIC -PLASTIGAL";0.00;24.00;2117.8100;3300.0000;0.00;"7796133003034";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+704";"CUBILETRAS";0.00;24.00;12696.0000;19600.0000;0.00;"7796133007049";"";" 13-01-01";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+1105";"TEXAS HOLDEM POKER SET PLASTIGAL";0.00;24.00;29391.9800;45400.0000;0.00;"7796133011053";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD9010";"DISFRAZ BARBIE HADA T0 NEW TOYS";0.00;24.00;4104.0000;7200.0000;0.00;"7798136110047";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD9011";"DISFRAZ BARBIE HADA T1 NEW TOYS";0.00;24.00;4104.0000;7200.0000;0.00;"7798136110054";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD9012";"DISFRAZ BARBIE HADA T2 NEW TOYS";0.00;24.00;4104.0000;7200.0000;0.00;"7798136110061";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7801";"DISFRAZ BLANCANIEVES   T0";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110290";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7802";"DISFRAZ BLANCANIEVES   T1";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110306";"";"";0.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00
"03+CAD7803";"DISFRAZ BLANCANIEVES   T2";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110313";"";" 12-00-00";0.00;2.00;1.00;1.00;1.00;1.00;0.00;3.00;0.00
"03+CAD7811";"DISFRAZ LA BELLA  T0";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110320";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7812";"DISFRAZ LA BELLA  T1";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110337";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7813";"DISFRAZ LA BELLA  T2";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110344";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7821";"DISFRAZ CENICIENTA  T0";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110351";"";" 13-00-00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7822";"DISFRAZ CENICIENTA  T1";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110368";"";" 13-00-00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7823";"DISFRAZ CENICIENTA  T2";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110375";"";"23-02-01 12-0";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7831";"DISFRAZ BELLA DURMIENTE   T0";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110382";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7832";"DISFRAZ BELLA DURMIENTE   T1";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110399";"7798136110399";"";0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00
"03+CAD7833";"DISFRAZ BELLA DURMIENTE   T2";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110405";"";"";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00
"03+CAD7841";"DISFRAZ CAMPANITA  T0";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110412";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7842";"DISFRAZ CAMPANITA  T1";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110429";"";" 12-00-00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7843";"DISFRAZ CAMPANITA  T2";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110436";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+CAD7701";"DISFRAZ BUZZ LIGHTYEAR TOY STORY  T0";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110474";"";"";0.00;0.00;1.00;1.00;0.00;1.00;0.00;3.00;0.00
"03+CAD7702";"DISFRAZ BUZZ LIGHTYEAR TOY STORY  T1";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110481";"";"21-02-02 12-0";0.00;0.00;1.00;0.00;0.00;1.00;1.00;4.00;1.00
"03+CAD7703";"DISFRAZ BUZZ LIGHTYEAR TOY STORY  T2";0.00;24.00;37043.8800;58700.0000;0.00;"7798136110498";"";" 12-00-00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;3.00;2.00
"03+DNY3040";"MUÑECO SOFT BUZZ CHICO";0.00;24.00;31487.2800;49900.0000;0.00;"7798136110962";"";" 10-00-00";0.00;1.00;0.00;1.00;1.00;-1.00;0.00;1.00;0.00
